,t-stat,t-p,U-stat,U-p,Cross-entropy
Violin Alaapana vs Violin Main,0.07037402656786634,0.943901831785589,658496.5,0.0002908046255619085,6.209698433628313
Violin Alaapana vs Violin Solo,-0.7343151600980972,0.4628284744249376,465633.0,9.119853935091058e-51,6.283820026216723
Violin Main vs Violin Solo,-0.922224131415518,0.35650445314292123,552223.5,4.8718715577025096e-23,6.299212779448743
Violin Alaapana vs Vocal Alaapana,-0.782851404289115,0.433842739880541,358532.5,1.2565225393569076e-100,6.417615171705087
Violin Main vs Vocal Main,-1.0454714771605003,0.29597323265037523,441928.0,2.565919187127884e-60,6.461519792645939
