,t-stat,t-p,U-stat,U-p,Cross-entropy
Violin Alaapana vs Violin Main,0.08321172432340675,0.9336901356283014,743328.5,0.16933814296437266,6.279288343964019
Violin Alaapana vs Violin Solo,-0.3720464720386999,0.7098911227917293,533165.5,3.534591680890804e-28,6.3221482897720405
Violin Main vs Violin Solo,-0.44097279042322307,0.6592724476688889,529366.0,2.876434935072665e-29,6.322761621820092
Violin Alaapana vs Vocal Alaapana,-0.44055688777209434,0.6595926889024911,396023.5,3.2683157596899464e-81,6.650692960050975
Violin Main vs Vocal Main,-0.32939101881740984,0.7419008990328473,422673.5,1.0725978384847012e-68,6.53906067627951
