,t-stat,t-p,U-stat,U-p,Cross-entropy
Violin Alaapana vs Violin Main,-0.04060045367982713,0.9676178023146735,659575.0,0.0003711164230192755,6.297101192297119
Violin Alaapana vs Violin Solo,-0.20901728633733666,0.8344524971894218,539494.5,2.0667878812250383e-26,6.235000239508668
Violin Main vs Violin Solo,-0.19740847397485786,0.8435246295319245,605305.5,1.40866221697237e-11,6.457820331432703
Violin Alaapana vs Vocal Alaapana,-0.3237086329433475,0.746202189942569,417037.0,2.966254621538314e-71,6.515230998354174
Violin Main vs Vocal Main,-0.4109647088672162,0.6811495185737919,471887.5,2.1846907406204343e-48,6.608883778398605
