,t-stat,t-p,U-stat,U-p,Cross-entropy
Violin Alaapana vs Violin Main,0.09655678158880286,0.9230864479250296,784403.0,0.0001481356252800131,6.478557676739939
Violin Alaapana vs Violin Solo,0.023609816427713114,0.981165806321165,627244.0,4.64108763343567e-08,6.485929474063815
Violin Main vs Violin Solo,-0.08839495535925275,0.9295701517096154,561332.5,8.964796869717012e-21,6.3802802436868
Violin Alaapana vs Vocal Alaapana,-0.28669034909962365,0.7743809261143663,500106.5,2.2117724612417041e-38,6.681472966204993
Violin Main vs Vocal Main,-0.420936023109778,0.6738507101121162,463955.0,2.0497834466662655e-51,6.588613352282721
