,t-stat,t-p,U-stat,U-p,Cross-entropy
Violin Alaapana vs Violin Main,-0.13631631242840836,0.8915826711933699,831428.5,5.217316023825521e-11,6.75165451529981
Violin Alaapana vs Violin Solo,-0.6432858337303184,0.5201001553840987,716375.0,0.8309124429889252,6.692842270260385
Violin Main vs Violin Solo,-0.35590781511852665,0.721940909383612,605459.5,1.499608656097886e-11,6.419999998497843
Violin Alaapana vs Vocal Alaapana,-0.869533357718862,0.38465961966615114,563345.5,2.731321630059608e-20,6.806875747727089
Violin Main vs Vocal Main,-0.5031383226334983,0.6149363109065746,464859.5,4.589330014118571e-51,6.586139651705922
