Piece,Violin Alaapana PSNR,Vocal Alaapana PSNR,Violin Main PSNR,Vocal Main PSNR
Karuna Nidhi Illalo,8.761875563402523,5.85121935336392,12.906732936656082,6.045759973524745
Koluvamaregatha,15.946344644784816,6.798993645293663,13.956757311592888,5.394146585047384
Munnu Ravana,,,14.358485177108184,4.6529200850370644
Thappi Bratikipova,19.932934358624184,6.1702283735616135,17.284458735194427,6.36843029386879
Kailasapathe,16.583398560564845,4.278002356661032,15.791443598130224,4.943458508235031
Sundari Nee Divya,13.423570880734133,4.416956958263038,15.374031722639101,3.778606613001856
Vandalum,,,14.836875550436945,6.622120819659552
